Name,LigID,warhead_type,notes
MNO,MNO,Aldehyde,
P10,P10,Aldehyde,
C4P,C4P,Aldehyde,
TCO,TCO,Aldehyde,
NA3,NA3,Aldehyde,
NA4,NA4,Aldehyde,
4QB,4QB,Aldehyde,
HQC,HQC,Aldehyde,
YBH,YBH,Aldehyde,
CT1,CT1,Aldehyde,
CT2,CT2,Aldehyde,
0M6,0M6,Aldehyde,
NOL,NOL,Aldehyde,
TF5,TF5,Aldehyde,
I0Y,I0Y,Aldehyde,
O64,O64,Aldehyde,
S89,S89,Aldehyde,
K36,K36,Aldehyde,
3BL,3BL,Aldehyde,
GHV,GHV,Aldehyde,
GHX,GHX,Aldehyde,
GHY,GHY,Aldehyde,
V64,V64,Aldehyde,
V69,V69,Aldehyde,
PCM,PCM,Ketone,
INP,INP,Ketone,
I10,I10,Ketone,
2CA,2CA,Ketone,
PZN,PZN,Ketone,
FSP,FSP,Ketone,
3FC,3FC,Ketone,
4PR,4PR,Ketone,
K2Z,K2Z,Ketone,
34H,34H,Ketone,
H0E,H0E,Ketone,
1VL,1VL,Ketone,
BLN,BLN,Nitrile,
IHE,IHE,Nitrile,
IHI,IHI,Nitrile,
NBL,NBL,Nitrile,
NOQ,NOQ,Nitrile,
CRJ,CRJ,Nitrile,
CRV,CRV,Nitrile,
C71,C71,Nitrile,
C28,C28,Nitrile,
CKE,CKE,Nitrile,
424,424,Nitrile,
DJT,DJT,Nitrile,
XU5,XU5,Nitrile,
YJ2,YJ2,Nitrile,
YJ8,YJ8,Nitrile,
YJ9,YJ9,Nitrile,
NOW,NOW,Nitrile,
BD3,BD3,Nitrile,
QL2,QL2,Nitrile,
ORG,ORG,Nitrile,
ORH,ORH,Nitrile,
KWZ,KWZ,Nitrile,
935,935,Nitrile,
EF3,EF3,Nitrile,
O75,O75,Nitrile,
OFH,OFH,Nitrile,
8PW,8PW,Nitrile,
MG2,MG2,Nitrile,
JG7,JG7,Nitrile,
QQV,QQV,Nitrile,
6AO,6AO,Nitrile,
GDI,GDI,Nitrile,
U6B,U6B,Nitrile,
W2C,W2C,Nitrile,
0LB,0LB,Nitrile,
0LC,0LC,Nitrile,
2EW,2EW,Nitrile,
2EV,2EV,Nitrile,
3FS,3FS,Nitrile,
3FU,3FU,Nitrile,
3VF,3VF,Nitrile,
3VJ,3VJ,Nitrile,
3Y2,3Y2,Nitrile,
5T9,5T9,Nitrile,
7KH,7KH,Nitrile,
GH4,GH4,Nitrile,
