name,pdb_file,warhead_types,search_space_reduction,found_site,found_site_with_HSAB,hit_rate
1BMQ-MNO,1BMQ,Aldehyde,98.43,True,no matches,28/36 (77.78%)
1ME3-P10,1ME3,"Aldehyde, Ketone (reactive), Activated ketone","96.24, 98.12, 96.24",True,"no matches, TRUE, TRUE",28/36 (77.78%)
1NQC-C4P,1NQC,Aldehyde,97.7,True,no matches,28/36 (77.78%)
1RE1-NA3,1RE1,"Aldehyde, Heteroaryl halide (SNAr)","96.93, 96.93",True,"no matches, TRUE",28/36 (77.78%)
1RHM-NA4,1RHM,Aldehyde,97.59,True,no matches,28/36 (77.78%)
1RWN-4QB,1RWN,Aldehyde,96.93,True,no matches,28/36 (77.78%)
1RWP-HQC,1RWP,Aldehyde,96.55,True,no matches,28/36 (77.78%)
1RWX-YBH,1RWX,Aldehyde,95.86,True,no matches,28/36 (77.78%)
2AUX-CT1,2AUX,Aldehyde,98.59,True,no matches,28/36 (77.78%)
2G8E-0M6,2G8E,Aldehyde,96.63,True,no matches,28/36 (77.78%)
2GX4-NOL,2GX4,Aldehyde,97.71,True,no matches,28/36 (77.78%)
2OP3-TF5,2OP3,Aldehyde,95.39,True,no matches,28/36 (77.78%)
3OF8-I0Y,3OF8,"Aldehyde, Ketone (reactive), Activated ketone","98.19, 95.02, 98.19",True,"no matches, TRUE, TRUE",28/36 (77.78%)
3SN8-S89,3SN8,"Alpha-beta unsaturated carbonyl (Michael acceptor), Acrylamide warhead, Aldehyde","97.71, 97.71, 97.71",True,"TRUE, TRUE, no matches",28/36 (77.78%)
4DCD-K36,4DCD,Aldehyde,95.11,True,no matches,28/36 (77.78%)
4TWY-3BL,4TWY,Aldehyde,97.39,True,no matches,28/36 (77.78%)
5C1U-GHV,5C1U,"Alpha-beta unsaturated carbonyl (Michael acceptor), Acrylamide warhead","96.69, 96.69",True,"TRUE, TRUE",28/36 (77.78%)
5C1X-GHX,5C1X,Aldehyde,96.69,True,no matches,28/36 (77.78%)
1AU3-PCM,1AU3,Ketone (reactive),98.6,True,TRUE,28/36 (77.78%)
1AU4-INP,1AU4,Ketone (reactive),98.14,True,TRUE,28/36 (77.78%)
1BGO-I10,1BGO,Ketone (reactive),99.07,True,TRUE,28/36 (77.78%)
1U9V-IHE,1U9V,Nitrile (electrophilic),98.6,True,TRUE,28/36 (77.78%)
1U9W-IHI,1U9W,Nitrile (electrophilic),98.61,True,TRUE,28/36 (77.78%)
1YK7-NBL,1YK7,"Nitrile (electrophilic), Cyanamide","98.6, 98.6",True,"TRUE, TRUE",28/36 (77.78%)
2F7D-NOQ,2F7D,Nitrile (electrophilic),98.6,True,TRUE,28/36 (77.78%)
2FQ9-CRJ,2FQ9,Nitrile (electrophilic),99.08,True,TRUE,28/36 (77.78%)
2FRA-CRV,2FRA,Nitrile (electrophilic),99.08,True,TRUE,28/36 (77.78%)
2FRQ-C71,2FRQ,Nitrile (electrophilic),99.07,True,TRUE,28/36 (77.78%)
