name,pdb_file,electrophile_smiles,warhead_type,is_protonated,total_residues,step0_starting_count,step0_filtered_count,step0_relative_reduction_pct,step0_absolute_reduction_pct,step1_starting_count,step1_filtered_count,step1_relative_reduction_pct,step1_absolute_reduction_pct,step2_starting_count,step2_filtered_count,step2_relative_reduction_pct,step2_absolute_reduction_pct,step3_starting_count,step3_filtered_count,step3_relative_reduction_pct,step3_absolute_reduction_pct,step4_starting_count,step4_filtered_count,step4_relative_reduction_pct,step4_absolute_reduction_pct,found_site,found_site_with_HSAB,step0_nucleophilic_pass,step1_accessible_pass,step2_reactivity_pass,step3_orbital_pass,failed_step,succeeded_steps
1ME3-P10-deprot,1ME3,O=CC(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)OC([H])([H])c1c([H])nc([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],Aldehyde,True,215,215,57,73.49,73.49,57,33,42.11,84.65,33,6,81.82,97.21,6,6,0.00,97.21,6,0,100.00,100.00,True,no matches,True,True,True,True,,step0_nucleophilic;step1_accessible;step2_reactivity;step3_orbital
1ME3-P10-deprot,1ME3,O=CC(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)OC([H])([H])c1c([H])nc([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],Aldehyde,False,215,215,57,73.49,73.49,57,33,42.11,84.65,33,27,18.18,87.44,27,27,0.00,87.44,27,27,0.00,87.44,False,False,True,True,False,False,step2_reactivity,step0_nucleophilic;step1_accessible
1ME3-P10-deprot,1ME3,O=CC(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)OC([H])([H])c1c([H])nc([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],Ketone (reactive),True,215,215,57,73.49,73.49,57,33,42.11,84.65,33,6,81.82,97.21,6,3,50.00,98.60,3,2,33.33,99.07,True,True,True,True,True,True,,step0_nucleophilic;step1_accessible;step2_reactivity;step3_orbital
1ME3-P10-deprot,1ME3,O=CC(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)OC([H])([H])c1c([H])nc([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],Ketone (reactive),False,215,215,57,73.49,73.49,57,33,42.11,84.65,33,8,75.76,96.28,8,8,0.00,96.28,8,2,75.00,99.07,True,True,True,True,True,True,,step0_nucleophilic;step1_accessible;step2_reactivity;step3_orbital
1ME3-P10-deprot,1ME3,O=CC(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)OC([H])([H])c1c([H])nc([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],Activated ketone,True,215,215,57,73.49,73.49,57,33,42.11,84.65,33,6,81.82,97.21,6,6,0.00,97.21,6,2,66.67,99.07,True,True,True,True,True,True,,step0_nucleophilic;step1_accessible;step2_reactivity;step3_orbital
1ME3-P10-deprot,1ME3,O=CC(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)OC([H])([H])c1c([H])nc([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],Activated ketone,False,215,215,57,73.49,73.49,57,33,42.11,84.65,33,27,18.18,87.44,27,27,0.00,87.44,27,0,100.00,100.00,False,no matches,True,True,False,False,step2_reactivity,step0_nucleophilic;step1_accessible
1ME3-P10-deprot,1ME3,O=CC(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)OC([H])([H])c1c([H])nc([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],Carbamate (amide-like),True,215,215,57,73.49,73.49,57,33,42.11,84.65,33,7,78.79,96.74,7,0,100.00,100.00,0,0,0.00,100.00,False,no matches,True,True,False,False,step2_reactivity,step0_nucleophilic;step1_accessible
1ME3-P10-deprot,1ME3,O=CC(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)OC([H])([H])c1c([H])nc([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],Carbamate (amide-like),False,215,215,57,73.49,73.49,57,33,42.11,84.65,33,15,54.55,93.02,15,0,100.00,100.00,0,0,0.00,100.00,False,no matches,True,True,False,False,step2_reactivity,step0_nucleophilic;step1_accessible
2GX4-NOL-deprot,2GX4,O=C[C@@H](NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)OCC1=CC=CC=C1)[C@@H]1CCNC1=O,Aldehyde,True,306,306,84,72.55,72.55,84,53,36.90,82.68,53,18,66.04,94.12,18,7,61.11,97.71,7,0,100.00,100.00,True,no matches,True,True,True,True,,step0_nucleophilic;step1_accessible;step2_reactivity;step3_orbital
2GX4-NOL-deprot,2GX4,O=C[C@@H](NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)OCC1=CC=CC=C1)[C@@H]1CCNC1=O,Aldehyde,False,306,306,84,72.55,72.55,84,53,36.90,82.68,53,35,33.96,88.56,35,35,0.00,88.56,35,30,14.29,90.20,False,False,True,True,False,False,step2_reactivity,step0_nucleophilic;step1_accessible
2GX4-NOL-deprot,2GX4,O=C[C@@H](NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)OCC1=CC=CC=C1)[C@@H]1CCNC1=O,Carbamate (amide-like),True,306,306,84,72.55,72.55,84,53,36.90,82.68,53,18,66.04,94.12,18,0,100.00,100.00,0,0,0.00,100.00,False,no matches,True,True,True,False,step3_orbital,step0_nucleophilic;step1_accessible;step2_reactivity
2GX4-NOL-deprot,2GX4,O=C[C@@H](NC(=O)[C@@H](CC(=O)N)NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)OCC1=CC=CC=C1)[C@@H]1CCNC1=O,Carbamate (amide-like),False,306,306,84,72.55,72.55,84,53,36.90,82.68,53,32,39.62,89.54,32,0,100.00,100.00,0,0,0.00,100.00,False,no matches,True,True,True,False,step3_orbital,step0_nucleophilic;step1_accessible;step2_reactivity
2OP3-TF5-deprot,2OP3,O=CCOc1ccccc1-c1ccc(F)c(F)c1F,Aldehyde,True,434,434,142,67.28,67.28,142,80,43.66,81.57,80,47,41.25,89.17,47,15,68.09,96.54,15,0,100.00,100.00,True,no matches,True,True,True,True,,step0_nucleophilic;step1_accessible;step2_reactivity;step3_orbital
2OP3-TF5-deprot,2OP3,O=CCOc1ccccc1-c1ccc(F)c(F)c1F,Aldehyde,False,434,434,142,67.28,67.28,142,80,43.66,81.57,80,38,52.50,91.24,38,38,0.00,91.24,38,29,23.68,93.32,False,False,True,True,False,False,step2_reactivity,step0_nucleophilic;step1_accessible
2OP3-TF5-deprot,2OP3,O=CCOc1ccccc1-c1ccc(F)c(F)c1F,Heteroaryl halide (SNAr),True,434,434,142,67.28,67.28,142,80,43.66,81.57,80,47,41.25,89.17,47,0,100.00,100.00,0,0,0.00,100.00,False,no matches,True,True,True,False,step3_orbital,step0_nucleophilic;step1_accessible;step2_reactivity
2OP3-TF5-deprot,2OP3,O=CCOc1ccccc1-c1ccc(F)c(F)c1F,Heteroaryl halide (SNAr),False,434,434,142,67.28,67.28,142,80,43.66,81.57,80,30,62.50,93.09,30,0,100.00,100.00,0,0,0.00,100.00,False,no matches,True,True,False,False,step2_reactivity,step0_nucleophilic;step1_accessible
