name,pdb_file,warhead_types,search_space_reduction,found_site,found_site_with_HSAB,hit_rate
1BMQ-MNO,1BMQ,Aldehyde,90.59,True,FALSE,23/36 (63.89%)
1ME3-P10,1ME3,Ketone (reactive),95.31,True,TRUE,23/36 (63.89%)
1RE1-NA3,1RE1,Aldehyde,91.67,True,FALSE,23/36 (63.89%)
1RWN-4QB,1RWN,Aldehyde,93.1,True,FALSE,23/36 (63.89%)
1RWP-HQC,1RWP,Aldehyde,96.17,True,no matches,23/36 (63.89%)
1RWX-YBH,1RWX,Aldehyde,92.48,True,FALSE,23/36 (63.89%)
2AUX-CT1,2AUX,Aldehyde,94.37,True,FALSE,23/36 (63.89%)
2G8E-0M6,2G8E,Aldehyde,94.48,True,FALSE,23/36 (63.89%)
3OF8-I0Y,3OF8,Ketone (reactive),90.05,True,TRUE,23/36 (63.89%)
3SN8-S89,3SN8,Aldehyde,91.83,True,FALSE,23/36 (63.89%)
4DCD-K36,4DCD,Aldehyde,91.85,True,FALSE,23/36 (63.89%)
4TWY-3BL,4TWY,Aldehyde,95.42,True,no matches,23/36 (63.89%)
5C1U-GHV,5C1U,"Alpha-beta unsaturated carbonyl (Michael acceptor), Acrylamide warhead","93.92, 93.92",True,"TRUE, TRUE",23/36 (63.89%)
5C1X-GHX,5C1X,Aldehyde,93.92,True,FALSE,23/36 (63.89%)
1AU4-INP,1AU4,Ketone (reactive),96.28,True,TRUE,23/36 (63.89%)
1BGO-I10,1BGO,Ketone (reactive),93.49,True,TRUE,23/36 (63.89%)
1U9V-IHE,1U9V,Nitrile (electrophilic),94.88,True,TRUE,23/36 (63.89%)
1U9W-IHI,1U9W,Nitrile (electrophilic),94.91,True,TRUE,23/36 (63.89%)
1YK7-NBL,1YK7,"Nitrile (electrophilic), Cyanamide","92.56, 92.56",True,"TRUE, TRUE",23/36 (63.89%)
2F7D-NOQ,2F7D,Nitrile (electrophilic),96.28,True,TRUE,23/36 (63.89%)
2FQ9-CRJ,2FQ9,Nitrile (electrophilic),96.32,True,TRUE,23/36 (63.89%)
2FRA-CRV,2FRA,Nitrile (electrophilic),92.18,True,TRUE,23/36 (63.89%)
2FRQ-C71,2FRQ,Nitrile (electrophilic),95.8,True,TRUE,23/36 (63.89%)
