name,pdb_file,electrophile_smiles,warhead_type,is_protonated,total_residues,step0_starting_count,step0_filtered_count,step0_relative_reduction_pct,step0_absolute_reduction_pct,step1_starting_count,step1_filtered_count,step1_relative_reduction_pct,step1_absolute_reduction_pct,step2_starting_count,step2_filtered_count,step2_relative_reduction_pct,step2_absolute_reduction_pct,step3_starting_count,step3_filtered_count,step3_relative_reduction_pct,step3_absolute_reduction_pct,step4_starting_count,step4_filtered_count,step4_relative_reduction_pct,step4_absolute_reduction_pct,found_site,found_site_with_HSAB
1BMQ-MNO,1BMQ,CC(C)[C@H](NC(=O)c1ccc2ccccc2c1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CC(=O)NS(C)(=O)=O,Aldehyde,TRUE,255,255,74,70.98,70.98,74,51,31.08,80,51,20,60.78,92.16,20,3,85,98.82,3,0,100,100,TRUE,no matches
1BMQ-MNO,1BMQ,CC(C)[C@H](NC(=O)c1ccc2ccccc2c1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CC(=O)NS(C)(=O)=O,Aldehyde,FALSE,255,255,74,70.98,70.98,74,51,31.08,80,51,23,54.9,90.98,23,23,0,90.98,23,15,34.78,94.12,TRUE,FALSE
1BMQ-MNO,1BMQ,CC(C)[C@H](NC(=O)c1ccc2ccccc2c1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CC(=O)NS(C)(=O)=O,Sulfonamide (activated),TRUE,255,255,74,70.98,70.98,74,51,31.08,80,51,25,50.98,90.2,25,0,100,100,0,0,0,100,no matches,no matches
1BMQ-MNO,1BMQ,CC(C)[C@H](NC(=O)c1ccc2ccccc2c1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CC(=O)NS(C)(=O)=O,Sulfonamide (activated),FALSE,255,255,74,70.98,70.98,74,51,31.08,80,51,23,54.9,90.98,23,0,100,100,0,0,0,100,no matches,no matches
1ME3-P10,1ME3,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)C(=O)CO)OCc1cccnc1,Ketone (reactive),TRUE,215,215,57,73.49,73.49,57,33,42.11,84.65,33,8,75.76,96.28,8,5,37.5,97.67,5,2,60,99.07,TRUE,TRUE
1ME3-P10,1ME3,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)C(=O)CO)OCc1cccnc1,Ketone (reactive),FALSE,215,215,57,73.49,73.49,57,33,42.11,84.65,33,26,21.21,87.91,26,26,0,87.91,26,2,92.31,99.07,TRUE,TRUE
1ME3-P10,1ME3,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)C(=O)CO)OCc1cccnc1,Activated ester,TRUE,215,215,57,73.49,73.49,57,33,42.11,84.65,33,6,81.82,97.21,6,0,100,100,0,0,0,100,no matches,no matches
1ME3-P10,1ME3,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)C(=O)CO)OCc1cccnc1,Activated ester,FALSE,215,215,57,73.49,73.49,57,33,42.11,84.65,33,14,57.58,93.49,14,0,100,100,0,0,0,100,no matches,no matches
1NQC-C4P,1NQC,O=C[C@H](CSCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1,Aldehyde,TRUE,217,217,71,67.28,67.28,71,43,39.44,80.18,43,21,51.16,90.32,21,5,76.19,97.7,5,0,100,100,TRUE,no matches
1NQC-C4P,1NQC,O=C[C@H](CSCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1,Aldehyde,FALSE,217,217,71,67.28,67.28,71,43,39.44,80.18,43,16,62.79,92.63,16,16,0,92.63,16,8,50,96.31,FALSE,FALSE
1Q6K-TCO,1Q6K,CC(C)(C)OC(=O)N[C@H](C=O)C1CCCCC1,Aldehyde,TRUE,215,215,63,70.7,70.7,63,37,41.27,82.79,37,21,43.24,90.23,21,3,85.71,98.6,3,0,100,100,TRUE,no matches
1Q6K-TCO,1Q6K,CC(C)(C)OC(=O)N[C@H](C=O)C1CCCCC1,Aldehyde,FALSE,215,215,63,70.7,70.7,63,37,41.27,82.79,37,7,81.08,96.74,7,7,0,96.74,7,4,42.86,98.14,FALSE,FALSE
1Q6K-TCO,1Q6K,CC(C)(C)OC(=O)N[C@H](C=O)C1CCCCC1,Activated ester,TRUE,215,215,63,70.7,70.7,63,37,41.27,82.79,37,21,43.24,90.23,21,0,100,100,0,0,0,100,no matches,no matches
1Q6K-TCO,1Q6K,CC(C)(C)OC(=O)N[C@H](C=O)C1CCCCC1,Activated ester,FALSE,215,215,63,70.7,70.7,63,37,41.27,82.79,37,16,56.76,92.56,16,0,100,100,0,0,0,100,no matches,no matches
1RE1-NA3,1RE1,O=C[C@H](CC(=O)O)NC(=O)c1cncc(Br)c1,Aldehyde,TRUE,231,231,73,68.4,68.4,73,46,36.99,80.09,46,23,50,90.04,23,7,69.57,96.97,7,0,100,100,TRUE,no matches
1RE1-NA3,1RE1,O=C[C@H](CC(=O)O)NC(=O)c1cncc(Br)c1,Aldehyde,FALSE,231,231,73,68.4,68.4,73,46,36.99,80.09,46,17,63.04,92.64,17,17,0,92.64,17,8,52.94,96.54,TRUE,FALSE
